country,country_code,year,value
Ethiopia,ETH,2025,3.323
Ethiopia,ETH,2024,3.357
Ethiopia,ETH,2023,3.375
Ethiopia,ETH,2022,3.386
Ethiopia,ETH,2021,3.935
Ethiopia,ETH,2020,3.998
Ethiopia,ETH,2019,2.928
Ethiopia,ETH,2018,2.811
Ethiopia,ETH,2017,2.665
Ethiopia,ETH,2016,2.556
Ethiopia,ETH,2015,2.442
Ethiopia,ETH,2014,2.361
Ethiopia,ETH,2013,2.251
Ethiopia,ETH,2012,2.252
Ethiopia,ETH,2011,2.27
Ethiopia,ETH,2010,2.295
Ethiopia,ETH,2009,2.326
Ethiopia,ETH,2008,2.326
Ethiopia,ETH,2007,2.337
Ethiopia,ETH,2006,2.337
Ethiopia,ETH,2005,2.497
Ethiopia,ETH,2004,2.776
Ethiopia,ETH,2003,3.008
Ethiopia,ETH,2002,3.054
Ethiopia,ETH,2001,3.16
Ethiopia,ETH,2000,3.499
Ethiopia,ETH,1999,3.714
Ethiopia,ETH,1998,3.481
Ethiopia,ETH,1997,3.227
Ethiopia,ETH,1996,3.121
Ethiopia,ETH,1995,3.005
Ethiopia,ETH,1994,3.1
Ethiopia,ETH,1993,3.252
Ethiopia,ETH,1992,3.416
Ethiopia,ETH,1991,3.284
Ethiopia,ETH,1990,
Ethiopia,ETH,1989,
Ethiopia,ETH,1988,
Ethiopia,ETH,1987,
Ethiopia,ETH,1986,
Ethiopia,ETH,1985,
Ethiopia,ETH,1984,
Ethiopia,ETH,1983,
Ethiopia,ETH,1982,
Ethiopia,ETH,1981,
Ethiopia,ETH,1980,
Ethiopia,ETH,1979,
Ethiopia,ETH,1978,
Ethiopia,ETH,1977,
Ethiopia,ETH,1976,
Ethiopia,ETH,1975,
Ethiopia,ETH,1974,
Ethiopia,ETH,1973,
Ethiopia,ETH,1972,
Ethiopia,ETH,1971,
Ethiopia,ETH,1970,
Ethiopia,ETH,1969,
Ethiopia,ETH,1968,
Ethiopia,ETH,1967,
Ethiopia,ETH,1966,
Ethiopia,ETH,1965,
Ethiopia,ETH,1964,
Ethiopia,ETH,1963,
Ethiopia,ETH,1962,
Ethiopia,ETH,1961,
Ethiopia,ETH,1960,
