country,country_code,year,value
Uganda,UGA,2025,61985829288.1496
Uganda,UGA,2024,53911907079.0485
Uganda,UGA,2023,48768955863.3175
Uganda,UGA,2022,45565333210.9108
Uganda,UGA,2021,40529788748.6737
Uganda,UGA,2020,37600368241.6657
Uganda,UGA,2019,35353061003.4359
Uganda,UGA,2018,32927025619.6795
Uganda,UGA,2017,30744473841.424
Uganda,UGA,2016,29203988696.2626
Uganda,UGA,2015,32387183730.1002
Uganda,UGA,2014,32612397257.4458
Uganda,UGA,2013,28915786516.6123
Uganda,UGA,2012,27305915910.7877
Uganda,UGA,2011,27871725241.4723
Uganda,UGA,2010,26673441430.7857
Uganda,UGA,2009,25127805566.6584
Uganda,UGA,2008,14440404132.2047
Uganda,UGA,2007,11902564494.8833
Uganda,UGA,2006,9977647682.96954
Uganda,UGA,2005,9239221763.05793
Uganda,UGA,2004,7939487547.77384
Uganda,UGA,2003,6606884275.23087
Uganda,UGA,2002,6178563591.12051
Uganda,UGA,2001,5840503868.51573
Uganda,UGA,2000,6193246837.09687
Uganda,UGA,1999,5998563257.94659
Uganda,UGA,1998,6584815846.52754
Uganda,UGA,1997,6269333313.17108
Uganda,UGA,1996,6044585326.938
Uganda,UGA,1995,5755818842.49246
Uganda,UGA,1994,3990430446.71216
Uganda,UGA,1993,3220439044.18949
Uganda,UGA,1992,2857457761.90922
Uganda,UGA,1991,3321729159.62277
Uganda,UGA,1990,4304399310.30967
Uganda,UGA,1989,5276480799.33868
Uganda,UGA,1988,6508931651.66667
Uganda,UGA,1987,6269522042.11556
Uganda,UGA,1986,3923244049.95796
Uganda,UGA,1985,3519695443.52516
Uganda,UGA,1984,3615647477.05434
Uganda,UGA,1983,2240333333.33333
Uganda,UGA,1982,2177500000.0
Uganda,UGA,1981,1337300000.0
Uganda,UGA,1980,1244610000.0
Uganda,UGA,1979,2139025000.0
Uganda,UGA,1978,2420260869.56522
Uganda,UGA,1977,2936470588.23529
Uganda,UGA,1976,2447300000.0
Uganda,UGA,1975,2359555555.55556
Uganda,UGA,1974,2098944967.20844
Uganda,UGA,1973,1701829789.02127
Uganda,UGA,1972,1490970180.59639
Uganda,UGA,1971,1417191656.16688
Uganda,UGA,1970,1259554808.90382
Uganda,UGA,1969,1168556628.86742
Uganda,UGA,1968,1037379252.41495
Uganda,UGA,1967,967240655.186896
Uganda,UGA,1966,925381492.370153
Uganda,UGA,1965,884502309.953801
Uganda,UGA,1964,589247687.30035
Uganda,UGA,1963,516315231.449087
Uganda,UGA,1962,449158233.391351
Uganda,UGA,1961,441667334.611947
Uganda,UGA,1960,423145605.043164
