country,country_code,year,value
Pakistan,PAK,2025,
Pakistan,PAK,2024,67.799
Pakistan,PAK,2023,67.649
Pakistan,PAK,2022,67.417
Pakistan,PAK,2021,65.773
Pakistan,PAK,2020,65.701
Pakistan,PAK,2019,66.729
Pakistan,PAK,2018,66.481
Pakistan,PAK,2017,66.223
Pakistan,PAK,2016,65.943
Pakistan,PAK,2015,65.641
Pakistan,PAK,2014,65.374
Pakistan,PAK,2013,65.129
Pakistan,PAK,2012,64.883
Pakistan,PAK,2011,64.659
Pakistan,PAK,2010,64.378
Pakistan,PAK,2009,64.206
Pakistan,PAK,2008,64.002
Pakistan,PAK,2007,63.807
Pakistan,PAK,2006,63.624
Pakistan,PAK,2005,62.416
Pakistan,PAK,2004,63.097
Pakistan,PAK,2003,62.834
Pakistan,PAK,2002,62.556
Pakistan,PAK,2001,62.241
Pakistan,PAK,2000,61.903
Pakistan,PAK,1999,61.54
Pakistan,PAK,1998,61.134
Pakistan,PAK,1997,60.623
Pakistan,PAK,1996,60.466
Pakistan,PAK,1995,60.273
Pakistan,PAK,1994,60.197
Pakistan,PAK,1993,60.083
Pakistan,PAK,1992,59.983
Pakistan,PAK,1991,59.864
Pakistan,PAK,1990,59.728
Pakistan,PAK,1989,59.528
Pakistan,PAK,1988,59.36
Pakistan,PAK,1987,59.222
Pakistan,PAK,1986,59.167
Pakistan,PAK,1985,59.075
Pakistan,PAK,1984,58.921
Pakistan,PAK,1983,58.663
Pakistan,PAK,1982,58.291
Pakistan,PAK,1981,57.764
Pakistan,PAK,1980,57.199
Pakistan,PAK,1979,56.614
Pakistan,PAK,1978,56.072
Pakistan,PAK,1977,55.482
Pakistan,PAK,1976,55.069
Pakistan,PAK,1975,54.722
Pakistan,PAK,1974,54.266
Pakistan,PAK,1973,54.09
Pakistan,PAK,1972,53.824
Pakistan,PAK,1971,49.002
Pakistan,PAK,1970,52.943
Pakistan,PAK,1969,52.316
Pakistan,PAK,1968,51.624
Pakistan,PAK,1967,50.763
Pakistan,PAK,1966,49.797
Pakistan,PAK,1965,48.495
Pakistan,PAK,1964,47.831
Pakistan,PAK,1963,46.761
Pakistan,PAK,1962,45.85
Pakistan,PAK,1961,44.956
Pakistan,PAK,1960,44.101
