country,country_code,year,value
Ethiopia,ETH,2025,
Ethiopia,ETH,2024,
Ethiopia,ETH,2023,
Ethiopia,ETH,2022,
Ethiopia,ETH,2021,
Ethiopia,ETH,2020,
Ethiopia,ETH,2019,
Ethiopia,ETH,2018,
Ethiopia,ETH,2017,
Ethiopia,ETH,2016,
Ethiopia,ETH,2015,33.9114221981431
Ethiopia,ETH,2014,
Ethiopia,ETH,2013,
Ethiopia,ETH,2012,36.2193489074707
Ethiopia,ETH,2011,34.4468994140625
Ethiopia,ETH,2010,33.0478591918945
Ethiopia,ETH,2009,31.649019241333
Ethiopia,ETH,2008,31.3109302520752
Ethiopia,ETH,2007,30.251350402832
Ethiopia,ETH,2006,27.4775695800781
Ethiopia,ETH,2005,23.8548793792725
Ethiopia,ETH,2004,21.47705078125
Ethiopia,ETH,2003,19.5667705535889
Ethiopia,ETH,2002,19.1939201354981
Ethiopia,ETH,2001,17.3430194854736
Ethiopia,ETH,2000,14.451319694519
Ethiopia,ETH,1999,13.2957601547241
Ethiopia,ETH,1998,
Ethiopia,ETH,1997,
Ethiopia,ETH,1996,11.0706901550293
Ethiopia,ETH,1995,10.4840297698975
Ethiopia,ETH,1994,10.3277502059937
Ethiopia,ETH,1993,10.651909828186
Ethiopia,ETH,1992,11.9716300964356
Ethiopia,ETH,1991,13.8706998825073
Ethiopia,ETH,1990,
Ethiopia,ETH,1989,15.1527500152588
Ethiopia,ETH,1988,15.1533002853394
Ethiopia,ETH,1987,13.7807397842407
Ethiopia,ETH,1986,12.5261001586914
Ethiopia,ETH,1985,
Ethiopia,ETH,1984,11.6299104690552
Ethiopia,ETH,1983,
Ethiopia,ETH,1982,
Ethiopia,ETH,1981,
Ethiopia,ETH,1980,
Ethiopia,ETH,1979,
Ethiopia,ETH,1978,
Ethiopia,ETH,1977,
Ethiopia,ETH,1976,
Ethiopia,ETH,1975,
Ethiopia,ETH,1974,5.24279022216797
Ethiopia,ETH,1973,4.81599998474121
Ethiopia,ETH,1972,4.39421987533569
Ethiopia,ETH,1971,4.09932994842529
Ethiopia,ETH,1970,
Ethiopia,ETH,1969,
Ethiopia,ETH,1968,
Ethiopia,ETH,1967,
Ethiopia,ETH,1966,
Ethiopia,ETH,1965,
Ethiopia,ETH,1964,
Ethiopia,ETH,1963,
Ethiopia,ETH,1962,
Ethiopia,ETH,1961,
Ethiopia,ETH,1960,
