country,country_code,year,value
Afghanistan,AFG,2025,43844111
Afghanistan,AFG,2024,42647492
Afghanistan,AFG,2023,41454761
Afghanistan,AFG,2022,40578842
Afghanistan,AFG,2021,40000412
Afghanistan,AFG,2020,39068979
Afghanistan,AFG,2019,37856121
Afghanistan,AFG,2018,36743039
Afghanistan,AFG,2017,35688935
Afghanistan,AFG,2016,34700612
Afghanistan,AFG,2015,33831764
Afghanistan,AFG,2014,32792523
Afghanistan,AFG,2013,31622704
Afghanistan,AFG,2012,30560034
Afghanistan,AFG,2011,29347708
Afghanistan,AFG,2010,28284089
Afghanistan,AFG,2009,27466101
Afghanistan,AFG,2008,26482622
Afghanistan,AFG,2007,25909852
Afghanistan,AFG,2006,25424094
Afghanistan,AFG,2005,24404567
Afghanistan,AFG,2004,23560654
Afghanistan,AFG,2003,22733049
Afghanistan,AFG,2002,21378117
Afghanistan,AFG,2001,20284307
Afghanistan,AFG,2000,20130327
Afghanistan,AFG,1999,19887785
Afghanistan,AFG,1998,19159996
Afghanistan,AFG,1997,18452091
Afghanistan,AFG,1996,17763266
Afghanistan,AFG,1995,17065836
Afghanistan,AFG,1994,16250794
Afghanistan,AFG,1993,14943172
Afghanistan,AFG,1992,13278974
Afghanistan,AFG,1991,12238879
Afghanistan,AFG,1990,12045660
Afghanistan,AFG,1989,11874088
Afghanistan,AFG,1988,11523298
Afghanistan,AFG,1987,11387818
Afghanistan,AFG,1986,11420074
Afghanistan,AFG,1985,11426852
Afghanistan,AFG,1984,11190221
Afghanistan,AFG,1983,10917982
Afghanistan,AFG,1982,10991378
Afghanistan,AFG,1981,11937581
Afghanistan,AFG,1980,13169311
Afghanistan,AFG,1979,13655567
Afghanistan,AFG,1978,13611441
Afghanistan,AFG,1977,13340756
Afghanistan,AFG,1976,13059851
Afghanistan,AFG,1975,12773954
Afghanistan,AFG,1974,12469127
Afghanistan,AFG,1973,12157999
Afghanistan,AFG,1972,11853696
Afghanistan,AFG,1971,11567667
Afghanistan,AFG,1970,11290128
Afghanistan,AFG,1969,11017409
Afghanistan,AFG,1968,10756922
Afghanistan,AFG,1967,10505959
Afghanistan,AFG,1966,10266395
Afghanistan,AFG,1965,10036008
Afghanistan,AFG,1964,9814318
Afghanistan,AFG,1963,9604487
Afghanistan,AFG,1962,9404406
Afghanistan,AFG,1961,9214083
Afghanistan,AFG,1960,9035043
