country,country_code,year,value
Malawi,MWI,2025,
Malawi,MWI,2024,15.6
Malawi,MWI,2023,15.6
Malawi,MWI,2022,14.0
Malawi,MWI,2021,14.2
Malawi,MWI,2020,11.5
Malawi,MWI,2019,11.2
Malawi,MWI,2018,18.0
Malawi,MWI,2017,12.7
Malawi,MWI,2016,11.0
Malawi,MWI,2015,10.8
Malawi,MWI,2014,11.9
Malawi,MWI,2013,9.0
Malawi,MWI,2012,7.4
Malawi,MWI,2011,7.6
Malawi,MWI,2010,8.7
Malawi,MWI,2009,8.3
Malawi,MWI,2008,7.8
Malawi,MWI,2007,7.4
Malawi,MWI,2006,3.7
Malawi,MWI,2005,6.6
Malawi,MWI,2004,6.9
Malawi,MWI,2003,6.2
Malawi,MWI,2002,5.6
Malawi,MWI,2001,5.2
Malawi,MWI,2000,4.8
Malawi,MWI,1999,4.26991271972656
Malawi,MWI,1998,3.82688760757446
Malawi,MWI,1997,3.37902021408081
Malawi,MWI,1996,2.92707347869873
Malawi,MWI,1995,2.47172713279724
Malawi,MWI,1994,2.01366138458252
Malawi,MWI,1993,1.55355584621429
Malawi,MWI,1992,3.2
Malawi,MWI,1991,
Malawi,MWI,1990,
Malawi,MWI,1989,
Malawi,MWI,1988,
Malawi,MWI,1987,
Malawi,MWI,1986,
Malawi,MWI,1985,
Malawi,MWI,1984,
Malawi,MWI,1983,
Malawi,MWI,1982,
Malawi,MWI,1981,
Malawi,MWI,1980,
Malawi,MWI,1979,
Malawi,MWI,1978,
Malawi,MWI,1977,
Malawi,MWI,1976,
Malawi,MWI,1975,
Malawi,MWI,1974,
Malawi,MWI,1973,
Malawi,MWI,1972,
Malawi,MWI,1971,
Malawi,MWI,1970,
Malawi,MWI,1969,
Malawi,MWI,1968,
Malawi,MWI,1967,
Malawi,MWI,1966,
Malawi,MWI,1965,
Malawi,MWI,1964,
Malawi,MWI,1963,
Malawi,MWI,1962,
Malawi,MWI,1961,
Malawi,MWI,1960,
