country,country_code,year,value
Nigeria,NGA,2025,237527782
Nigeria,NGA,2024,232679478
Nigeria,NGA,2023,227882945
Nigeria,NGA,2022,223150896
Nigeria,NGA,2021,218529286
Nigeria,NGA,2020,213996181
Nigeria,NGA,2019,209485641
Nigeria,NGA,2018,204938755
Nigeria,NGA,2017,200254579
Nigeria,NGA,2016,195443700
Nigeria,NGA,2015,190671878
Nigeria,NGA,2014,185896915
Nigeria,NGA,2013,181049443
Nigeria,NGA,2012,176200625
Nigeria,NGA,2011,171379598
Nigeria,NGA,2010,166642886
Nigeria,NGA,2009,162049464
Nigeria,NGA,2008,157595014
Nigeria,NGA,2007,153267261
Nigeria,NGA,2006,149077334
Nigeria,NGA,2005,145017253
Nigeria,NGA,2004,141057045
Nigeria,NGA,2003,137202644
Nigeria,NGA,2002,133471989
Nigeria,NGA,2001,129862595
Nigeria,NGA,2000,126382494
Nigeria,NGA,1999,123047320
Nigeria,NGA,1998,119846254
Nigeria,NGA,1997,116754792
Nigeria,NGA,1996,113754779
Nigeria,NGA,1995,110819428
Nigeria,NGA,1994,107935714
Nigeria,NGA,1993,105122069
Nigeria,NGA,1992,102372770
Nigeria,NGA,1991,99720162
Nigeria,NGA,1990,97120925
Nigeria,NGA,1989,94531014
Nigeria,NGA,1988,92020090
Nigeria,NGA,1987,89591716
Nigeria,NGA,1986,87235953
Nigeria,NGA,1985,84897973
Nigeria,NGA,1984,82526443
Nigeria,NGA,1983,80438260
Nigeria,NGA,1982,78378701
Nigeria,NGA,1981,76068103
Nigeria,NGA,1980,73764641
Nigeria,NGA,1979,71498242
Nigeria,NGA,1978,69326532
Nigeria,NGA,1977,67234590
Nigeria,NGA,1976,65258009
Nigeria,NGA,1975,63410815
Nigeria,NGA,1974,61679144
Nigeria,NGA,1973,60082139
Nigeria,NGA,1972,58601748
Nigeria,NGA,1971,57214684
Nigeria,NGA,1970,55893838
Nigeria,NGA,1969,54631914
Nigeria,NGA,1968,53432783
Nigeria,NGA,1967,52293065
Nigeria,NGA,1966,51188234
Nigeria,NGA,1965,50086764
Nigeria,NGA,1964,49012016
Nigeria,NGA,1963,47973575
Nigeria,NGA,1962,46965292
Nigeria,NGA,1961,45989310
Nigeria,NGA,1960,45053782
