country,country_code,year,value
Canada,CAN,2025,
Canada,CAN,2024,100.0
Canada,CAN,2023,100.0
Canada,CAN,2022,100.0
Canada,CAN,2021,100.0
Canada,CAN,2020,100.0
Canada,CAN,2019,100.0
Canada,CAN,2018,100.0
Canada,CAN,2017,100.0
Canada,CAN,2016,100.0
Canada,CAN,2015,100.0
Canada,CAN,2014,100.0
Canada,CAN,2013,100.0
Canada,CAN,2012,100.0
Canada,CAN,2011,100.0
Canada,CAN,2010,100.0
Canada,CAN,2009,100.0
Canada,CAN,2008,100.0
Canada,CAN,2007,100.0
Canada,CAN,2006,100.0
Canada,CAN,2005,100.0
Canada,CAN,2004,100.0
Canada,CAN,2003,100.0
Canada,CAN,2002,100.0
Canada,CAN,2001,100.0
Canada,CAN,2000,100.0
Canada,CAN,1999,100.0
Canada,CAN,1998,100.0
Canada,CAN,1997,100.0
Canada,CAN,1996,100.0
Canada,CAN,1995,100.0
Canada,CAN,1994,100.0
Canada,CAN,1993,100.0
Canada,CAN,1992,100.0
Canada,CAN,1991,100.0
Canada,CAN,1990,100.0
Canada,CAN,1989,
Canada,CAN,1988,
Canada,CAN,1987,
Canada,CAN,1986,
Canada,CAN,1985,
Canada,CAN,1984,
Canada,CAN,1983,
Canada,CAN,1982,
Canada,CAN,1981,
Canada,CAN,1980,
Canada,CAN,1979,
Canada,CAN,1978,
Canada,CAN,1977,
Canada,CAN,1976,
Canada,CAN,1975,
Canada,CAN,1974,
Canada,CAN,1973,
Canada,CAN,1972,
Canada,CAN,1971,
Canada,CAN,1970,
Canada,CAN,1969,
Canada,CAN,1968,
Canada,CAN,1967,
Canada,CAN,1966,
Canada,CAN,1965,
Canada,CAN,1964,
Canada,CAN,1963,
Canada,CAN,1962,
Canada,CAN,1961,
Canada,CAN,1960,
