country,country_code,year,value
Japan,JPN,2025,
Japan,JPN,2024,100.0
Japan,JPN,2023,100.0
Japan,JPN,2022,100.0
Japan,JPN,2021,100.0
Japan,JPN,2020,100.0
Japan,JPN,2019,100.0
Japan,JPN,2018,100.0
Japan,JPN,2017,100.0
Japan,JPN,2016,100.0
Japan,JPN,2015,100.0
Japan,JPN,2014,100.0
Japan,JPN,2013,100.0
Japan,JPN,2012,100.0
Japan,JPN,2011,100.0
Japan,JPN,2010,100.0
Japan,JPN,2009,100.0
Japan,JPN,2008,100.0
Japan,JPN,2007,100.0
Japan,JPN,2006,100.0
Japan,JPN,2005,100.0
Japan,JPN,2004,100.0
Japan,JPN,2003,100.0
Japan,JPN,2002,100.0
Japan,JPN,2001,100.0
Japan,JPN,2000,100.0
Japan,JPN,1999,100.0
Japan,JPN,1998,100.0
Japan,JPN,1997,100.0
Japan,JPN,1996,100.0
Japan,JPN,1995,100.0
Japan,JPN,1994,100.0
Japan,JPN,1993,100.0
Japan,JPN,1992,100.0
Japan,JPN,1991,100.0
Japan,JPN,1990,100.0
Japan,JPN,1989,
Japan,JPN,1988,
Japan,JPN,1987,
Japan,JPN,1986,
Japan,JPN,1985,
Japan,JPN,1984,
Japan,JPN,1983,
Japan,JPN,1982,
Japan,JPN,1981,
Japan,JPN,1980,
Japan,JPN,1979,
Japan,JPN,1978,
Japan,JPN,1977,
Japan,JPN,1976,
Japan,JPN,1975,
Japan,JPN,1974,
Japan,JPN,1973,
Japan,JPN,1972,
Japan,JPN,1971,
Japan,JPN,1970,
Japan,JPN,1969,
Japan,JPN,1968,
Japan,JPN,1967,
Japan,JPN,1966,
Japan,JPN,1965,
Japan,JPN,1964,
Japan,JPN,1963,
Japan,JPN,1962,
Japan,JPN,1961,
Japan,JPN,1960,
