country,country_code,year,value
Pakistan,PAK,2025,
Pakistan,PAK,2024,95.7
Pakistan,PAK,2023,95.6
Pakistan,PAK,2022,95.0
Pakistan,PAK,2021,94.9
Pakistan,PAK,2020,94.5
Pakistan,PAK,2019,93.9
Pakistan,PAK,2018,93.4
Pakistan,PAK,2017,92.7
Pakistan,PAK,2016,91.8
Pakistan,PAK,2015,91.0
Pakistan,PAK,2014,90.1
Pakistan,PAK,2013,89.3
Pakistan,PAK,2012,88.6
Pakistan,PAK,2011,87.8
Pakistan,PAK,2010,87.1
Pakistan,PAK,2009,82.5
Pakistan,PAK,2008,81.4
Pakistan,PAK,2007,80.2
Pakistan,PAK,2006,79.1
Pakistan,PAK,2005,78.1
Pakistan,PAK,2004,77.0
Pakistan,PAK,2003,76.0
Pakistan,PAK,2002,74.9
Pakistan,PAK,2001,73.9
Pakistan,PAK,2000,72.8
Pakistan,PAK,1999,70.2653503417969
Pakistan,PAK,1998,70.46
Pakistan,PAK,1997,
Pakistan,PAK,1996,
Pakistan,PAK,1995,
Pakistan,PAK,1994,
Pakistan,PAK,1993,
Pakistan,PAK,1992,
Pakistan,PAK,1991,
Pakistan,PAK,1990,
Pakistan,PAK,1989,
Pakistan,PAK,1988,
Pakistan,PAK,1987,
Pakistan,PAK,1986,
Pakistan,PAK,1985,
Pakistan,PAK,1984,
Pakistan,PAK,1983,
Pakistan,PAK,1982,
Pakistan,PAK,1981,
Pakistan,PAK,1980,
Pakistan,PAK,1979,
Pakistan,PAK,1978,
Pakistan,PAK,1977,
Pakistan,PAK,1976,
Pakistan,PAK,1975,
Pakistan,PAK,1974,
Pakistan,PAK,1973,
Pakistan,PAK,1972,
Pakistan,PAK,1971,
Pakistan,PAK,1970,
Pakistan,PAK,1969,
Pakistan,PAK,1968,
Pakistan,PAK,1967,
Pakistan,PAK,1966,
Pakistan,PAK,1965,
Pakistan,PAK,1964,
Pakistan,PAK,1963,
Pakistan,PAK,1962,
Pakistan,PAK,1961,
Pakistan,PAK,1960,
