country,country_code,year,value
Germany,DEU,2025,60496.4350820414
Germany,DEU,2024,56103.7323182554
Germany,DEU,2023,54776.7668235491
Germany,DEU,2022,50506.5179638543
Germany,DEU,2021,52349.2459994422
Germany,DEU,2020,47394.8734504469
Germany,DEU,2019,47656.199739747
Germany,DEU,2018,48916.1686612154
Germany,DEU,2017,45553.9341495339
Germany,DEU,2016,42948.9381932694
Germany,DEU,2015,41929.7549110722
Germany,DEU,2014,48959.5991203133
Germany,DEU,2013,47206.8353514242
Germany,DEU,2012,44718.0159214069
Germany,DEU,2011,47630.9761883572
Germany,DEU,2010,42396.9665976293
Germany,DEU,2009,42471.8868625226
Germany,DEU,2008,46379.1647953479
Germany,DEU,2007,42350.9217211489
Germany,DEU,2006,36980.3349948954
Germany,DEU,2005,35084.4363546269
Germany,DEU,2004,34566.7359143735
Germany,DEU,2003,30711.1022511331
Germany,DEU,2002,25486.5942008748
Germany,DEU,2001,23878.3641471651
Germany,DEU,2000,23925.8559901991
Germany,DEU,1999,26965.4922773722
Germany,DEU,1998,27395.9440608051
Germany,DEU,1997,27046.9565464237
Germany,DEU,1996,30599.7891048363
Germany,DEU,1995,31747.2449398447
Germany,DEU,1994,27201.9593555204
Germany,DEU,1993,25616.6508772405
Germany,DEU,1992,26559.8543879632
Germany,DEU,1991,23443.3350818536
Germany,DEU,1990,22385.6778250275
Germany,DEU,1989,17829.4609524705
Germany,DEU,1988,17996.9783507619
Germany,DEU,1987,16738.6132825523
Germany,DEU,1986,13511.1520027486
Germany,DEU,1985,9464.11694710857
Germany,DEU,1984,9347.29068412377
Germany,DEU,1983,9900.48559233526
Germany,DEU,1982,9950.05926025365
Germany,DEU,1981,10246.4767623188
Germany,DEU,1980,12182.7800196802
Germany,DEU,1979,11322.3543443813
Germany,DEU,1978,9516.78283228907
Germany,DEU,1977,7711.10232025365
Germany,DEU,1976,6659.16546576017
Germany,DEU,1975,6259.20744498342
Germany,DEU,1974,5659.73787773336
Germany,DEU,1973,5065.24523302283
Germany,DEU,1972,3823.94032602696
Germany,DEU,1971,3203.82884836051
Germany,DEU,1970,2771.28310514754
Germany,DEU,1969,2281.27598218229
Germany,DEU,1968,2025.08159465853
Germany,DEU,1967,1885.61596607874
Germany,DEU,1966,1870.80540291774
Germany,DEU,1965,1774.1986904555
Germany,DEU,1964,1637.45522773672
Germany,DEU,1963,1502.15452905146
Germany,DEU,1962,1430.52095516263
Germany,DEU,1961,1315.90787834504
Germany,DEU,1960,1162.12266831735
