country,country_code,year,value
Australia,AUS,2025,
Australia,AUS,2024,131.931564331055
Australia,AUS,2023,134.099243164062
Australia,AUS,2022,133.277267456055
Australia,AUS,2021,135.526565551758
Australia,AUS,2020,137.490737915039
Australia,AUS,2019,144.056564331055
Australia,AUS,2018,136.105545043945
Australia,AUS,2017,153.576126098633
Australia,AUS,2016,155.594390869141
Australia,AUS,2015,159.110763549805
Australia,AUS,2014,
Australia,AUS,2013,
Australia,AUS,2012,
Australia,AUS,2011,
Australia,AUS,2010,
Australia,AUS,2009,
Australia,AUS,2008,
Australia,AUS,2007,
Australia,AUS,2006,
Australia,AUS,2005,
Australia,AUS,2004,
Australia,AUS,2003,
Australia,AUS,2002,
Australia,AUS,2001,
Australia,AUS,2000,
Australia,AUS,1999,
Australia,AUS,1998,
Australia,AUS,1997,
Australia,AUS,1996,
Australia,AUS,1995,
Australia,AUS,1994,
Australia,AUS,1993,
Australia,AUS,1992,
Australia,AUS,1991,
Australia,AUS,1990,
Australia,AUS,1989,
Australia,AUS,1988,
Australia,AUS,1987,
Australia,AUS,1986,
Australia,AUS,1985,
Australia,AUS,1984,
Australia,AUS,1983,
Australia,AUS,1982,
Australia,AUS,1981,
Australia,AUS,1980,
Australia,AUS,1979,
Australia,AUS,1978,
Australia,AUS,1977,
Australia,AUS,1976,
Australia,AUS,1975,
Australia,AUS,1974,
Australia,AUS,1973,
Australia,AUS,1972,
Australia,AUS,1971,
Australia,AUS,1970,
Australia,AUS,1969,
Australia,AUS,1968,
Australia,AUS,1967,
Australia,AUS,1966,
Australia,AUS,1965,
Australia,AUS,1964,
Australia,AUS,1963,
Australia,AUS,1962,
Australia,AUS,1961,
Australia,AUS,1960,
