country,country_code,year,value
India,IND,2025,
India,IND,2024,72.235
India,IND,2023,72.003
India,IND,2022,71.698
India,IND,2021,67.282
India,IND,2020,70.156
India,IND,2019,70.746
India,IND,2018,70.415
India,IND,2017,70.068
India,IND,2016,69.709
India,IND,2015,69.326
India,IND,2014,68.932
India,IND,2013,68.499
India,IND,2012,68.076
India,IND,2011,67.623
India,IND,2010,67.162
India,IND,2009,66.7
India,IND,2008,66.247
India,IND,2007,65.803
India,IND,2006,65.373
India,IND,2005,64.939
India,IND,2004,64.484
India,IND,2003,64.086
India,IND,2002,63.649
India,IND,2001,63.158
India,IND,2000,62.749
India,IND,1999,62.284
India,IND,1998,61.852
India,IND,1997,61.439
India,IND,1996,61.027
India,IND,1995,60.63
India,IND,1994,60.237
India,IND,1993,59.823
India,IND,1992,59.445
India,IND,1991,59.032
India,IND,1990,58.618
India,IND,1989,58.196
India,IND,1988,57.744
India,IND,1987,57.291
India,IND,1986,56.819
India,IND,1985,56.324
India,IND,1984,55.813
India,IND,1983,55.283
India,IND,1982,54.735
India,IND,1981,54.173
India,IND,1980,53.593
India,IND,1979,53.014
India,IND,1978,52.42
India,IND,1977,51.822
India,IND,1976,51.302
India,IND,1975,50.761
India,IND,1974,50.259
India,IND,1973,49.642
India,IND,1972,49.213
India,IND,1971,48.902
India,IND,1970,48.585
India,IND,1969,48.26
India,IND,1968,47.925
India,IND,1967,46.184
India,IND,1966,45.884
India,IND,1965,45.558
India,IND,1964,46.742
India,IND,1963,46.458
India,IND,1962,46.133
India,IND,1961,45.824
India,IND,1960,45.61
