country,country_code,year,value
United States,USA,2025,
United States,USA,2024,100.0
United States,USA,2023,100.0
United States,USA,2022,100.0
United States,USA,2021,100.0
United States,USA,2020,100.0
United States,USA,2019,100.0
United States,USA,2018,100.0
United States,USA,2017,100.0
United States,USA,2016,100.0
United States,USA,2015,100.0
United States,USA,2014,100.0
United States,USA,2013,100.0
United States,USA,2012,100.0
United States,USA,2011,100.0
United States,USA,2010,100.0
United States,USA,2009,100.0
United States,USA,2008,100.0
United States,USA,2007,100.0
United States,USA,2006,100.0
United States,USA,2005,100.0
United States,USA,2004,100.0
United States,USA,2003,100.0
United States,USA,2002,100.0
United States,USA,2001,100.0
United States,USA,2000,100.0
United States,USA,1999,100.0
United States,USA,1998,100.0
United States,USA,1997,100.0
United States,USA,1996,100.0
United States,USA,1995,100.0
United States,USA,1994,100.0
United States,USA,1993,100.0
United States,USA,1992,100.0
United States,USA,1991,100.0
United States,USA,1990,100.0
United States,USA,1989,
United States,USA,1988,
United States,USA,1987,
United States,USA,1986,
United States,USA,1985,
United States,USA,1984,
United States,USA,1983,
United States,USA,1982,
United States,USA,1981,
United States,USA,1980,
United States,USA,1979,
United States,USA,1978,
United States,USA,1977,
United States,USA,1976,
United States,USA,1975,
United States,USA,1974,
United States,USA,1973,
United States,USA,1972,
United States,USA,1971,
United States,USA,1970,
United States,USA,1969,
United States,USA,1968,
United States,USA,1967,
United States,USA,1966,
United States,USA,1965,
United States,USA,1964,
United States,USA,1963,
United States,USA,1962,
United States,USA,1961,
United States,USA,1960,
