country,country_code,year,value
Japan,JPN,2025,
Japan,JPN,2024,
Japan,JPN,2023,101.537071228027
Japan,JPN,2022,101.38200378418
Japan,JPN,2021,101.744400024414
Japan,JPN,2020,101.34056854248
Japan,JPN,2019,100.660270690918
Japan,JPN,2018,100.482200622559
Japan,JPN,2017,100.260749816895
Japan,JPN,2016,101.296928405762
Japan,JPN,2015,101.724517822266
Japan,JPN,2014,101.036422729492
Japan,JPN,2013,101.049438476562
Japan,JPN,2012,
Japan,JPN,2011,
Japan,JPN,2010,
Japan,JPN,2009,
Japan,JPN,2008,
Japan,JPN,2007,
Japan,JPN,2006,
Japan,JPN,2005,
Japan,JPN,2004,
Japan,JPN,2003,
Japan,JPN,2002,
Japan,JPN,2001,
Japan,JPN,2000,
Japan,JPN,1999,
Japan,JPN,1998,
Japan,JPN,1997,
Japan,JPN,1996,
Japan,JPN,1995,
Japan,JPN,1994,
Japan,JPN,1993,
Japan,JPN,1992,
Japan,JPN,1991,
Japan,JPN,1990,
Japan,JPN,1989,
Japan,JPN,1988,
Japan,JPN,1987,
Japan,JPN,1986,
Japan,JPN,1985,
Japan,JPN,1984,
Japan,JPN,1983,
Japan,JPN,1982,
Japan,JPN,1981,
Japan,JPN,1980,
Japan,JPN,1979,
Japan,JPN,1978,
Japan,JPN,1977,
Japan,JPN,1976,
Japan,JPN,1975,
Japan,JPN,1974,
Japan,JPN,1973,
Japan,JPN,1972,
Japan,JPN,1971,
Japan,JPN,1970,
Japan,JPN,1969,
Japan,JPN,1968,
Japan,JPN,1967,
Japan,JPN,1966,
Japan,JPN,1965,
Japan,JPN,1964,
Japan,JPN,1963,
Japan,JPN,1962,
Japan,JPN,1961,
Japan,JPN,1960,
