country,country_code,year,value
Ethiopia,ETH,2025,
Ethiopia,ETH,2024,67.603
Ethiopia,ETH,2023,67.315
Ethiopia,ETH,2022,66.897
Ethiopia,ETH,2021,65.33
Ethiopia,ETH,2020,65.969
Ethiopia,ETH,2019,65.741
Ethiopia,ETH,2018,65.257
Ethiopia,ETH,2017,64.766
Ethiopia,ETH,2016,64.162
Ethiopia,ETH,2015,63.592
Ethiopia,ETH,2014,62.927
Ethiopia,ETH,2013,62.161
Ethiopia,ETH,2012,61.443
Ethiopia,ETH,2011,60.595
Ethiopia,ETH,2010,59.709
Ethiopia,ETH,2009,58.715
Ethiopia,ETH,2008,57.733
Ethiopia,ETH,2007,56.566
Ethiopia,ETH,2006,55.402
Ethiopia,ETH,2005,54.364
Ethiopia,ETH,2004,53.735
Ethiopia,ETH,2003,52.877
Ethiopia,ETH,2002,52.085
Ethiopia,ETH,2001,51.428
Ethiopia,ETH,2000,50.88
Ethiopia,ETH,1999,49.486
Ethiopia,ETH,1998,49.785
Ethiopia,ETH,1997,49.21
Ethiopia,ETH,1996,48.697
Ethiopia,ETH,1995,48.156
Ethiopia,ETH,1994,47.926
Ethiopia,ETH,1993,47.676
Ethiopia,ETH,1992,47.279
Ethiopia,ETH,1991,46.657
Ethiopia,ETH,1990,45.117
Ethiopia,ETH,1989,45.644
Ethiopia,ETH,1988,45.682
Ethiopia,ETH,1987,45.892
Ethiopia,ETH,1986,38.371
Ethiopia,ETH,1985,37.747
Ethiopia,ETH,1984,36.737
Ethiopia,ETH,1983,36.319
Ethiopia,ETH,1982,43.434
Ethiopia,ETH,1981,43.084
Ethiopia,ETH,1980,42.815
Ethiopia,ETH,1979,42.376
Ethiopia,ETH,1978,41.506
Ethiopia,ETH,1977,41.397
Ethiopia,ETH,1976,41.32
Ethiopia,ETH,1975,38.941
Ethiopia,ETH,1974,39.083
Ethiopia,ETH,1973,41.103
Ethiopia,ETH,1972,41.035
Ethiopia,ETH,1971,42.216
Ethiopia,ETH,1970,42.115
Ethiopia,ETH,1969,42.131
Ethiopia,ETH,1968,42.092
Ethiopia,ETH,1967,41.941
Ethiopia,ETH,1966,39.343
Ethiopia,ETH,1965,41.413
Ethiopia,ETH,1964,41.261
Ethiopia,ETH,1963,40.967
Ethiopia,ETH,1962,40.531
Ethiopia,ETH,1961,40.198
Ethiopia,ETH,1960,39.615
