country,country_code,year,value
Afghanistan,AFG,2025,
Afghanistan,AFG,2024,17778508875.7396
Afghanistan,AFG,2023,17152234636.8715
Afghanistan,AFG,2022,14497243872.1337
Afghanistan,AFG,2021,14259995441.0759
Afghanistan,AFG,2020,19955929052.1496
Afghanistan,AFG,2019,18799444490.1128
Afghanistan,AFG,2018,18053222687.4126
Afghanistan,AFG,2017,18753456497.8159
Afghanistan,AFG,2016,18116572395.0772
Afghanistan,AFG,2015,19134221644.7325
Afghanistan,AFG,2014,20497128555.6972
Afghanistan,AFG,2013,20146416757.5987
Afghanistan,AFG,2012,19907329777.5872
Afghanistan,AFG,2011,17805098206.3141
Afghanistan,AFG,2010,15856668555.8336
Afghanistan,AFG,2009,12416152732.0567
Afghanistan,AFG,2008,10109297047.5432
Afghanistan,AFG,2007,9747886187.39393
Afghanistan,AFG,2006,6971758282.29351
Afghanistan,AFG,2005,6203256538.70967
Afghanistan,AFG,2004,5224896718.67782
Afghanistan,AFG,2003,4520946818.54581
Afghanistan,AFG,2002,3825701438.99963
Afghanistan,AFG,2001,2813571753.87253
Afghanistan,AFG,2000,3521418059.92345
Afghanistan,AFG,1999,
Afghanistan,AFG,1998,
Afghanistan,AFG,1997,
Afghanistan,AFG,1996,
Afghanistan,AFG,1995,
Afghanistan,AFG,1994,
Afghanistan,AFG,1993,
Afghanistan,AFG,1992,
Afghanistan,AFG,1991,
Afghanistan,AFG,1990,
Afghanistan,AFG,1989,
Afghanistan,AFG,1988,
Afghanistan,AFG,1987,
Afghanistan,AFG,1986,
Afghanistan,AFG,1985,
Afghanistan,AFG,1984,
Afghanistan,AFG,1983,
Afghanistan,AFG,1982,
Afghanistan,AFG,1981,
Afghanistan,AFG,1980,
Afghanistan,AFG,1979,
Afghanistan,AFG,1978,
Afghanistan,AFG,1977,
Afghanistan,AFG,1976,
Afghanistan,AFG,1975,
Afghanistan,AFG,1974,
Afghanistan,AFG,1973,
Afghanistan,AFG,1972,
Afghanistan,AFG,1971,
Afghanistan,AFG,1970,
Afghanistan,AFG,1969,
Afghanistan,AFG,1968,
Afghanistan,AFG,1967,
Afghanistan,AFG,1966,
Afghanistan,AFG,1965,
Afghanistan,AFG,1964,
Afghanistan,AFG,1963,
Afghanistan,AFG,1962,
Afghanistan,AFG,1961,
Afghanistan,AFG,1960,
