country,country_code,year,value
Malawi,MWI,2025,
Malawi,MWI,2024,67.561
Malawi,MWI,2023,67.353
Malawi,MWI,2022,66.037
Malawi,MWI,2021,64.782
Malawi,MWI,2020,65.216
Malawi,MWI,2019,64.995
Malawi,MWI,2018,64.464
Malawi,MWI,2017,63.914
Malawi,MWI,2016,63.163
Malawi,MWI,2015,62.324
Malawi,MWI,2014,61.651
Malawi,MWI,2013,60.816
Malawi,MWI,2012,59.87
Malawi,MWI,2011,58.859
Malawi,MWI,2010,57.787
Malawi,MWI,2009,56.714
Malawi,MWI,2008,55.715
Malawi,MWI,2007,54.687
Malawi,MWI,2006,53.652
Malawi,MWI,2005,52.469
Malawi,MWI,2004,51.073
Malawi,MWI,2003,49.601
Malawi,MWI,2002,48.176
Malawi,MWI,2001,47.205
Malawi,MWI,2000,46.17
Malawi,MWI,1999,45.06
Malawi,MWI,1998,44.3
Malawi,MWI,1997,44.2
Malawi,MWI,1996,44.005
Malawi,MWI,1995,43.804
Malawi,MWI,1994,43.8
Malawi,MWI,1993,43.648
Malawi,MWI,1992,43.636
Malawi,MWI,1991,43.54
Malawi,MWI,1990,43.575
Malawi,MWI,1989,43.515
Malawi,MWI,1988,43.569
Malawi,MWI,1987,43.902
Malawi,MWI,1986,44.298
Malawi,MWI,1985,44.568
Malawi,MWI,1984,44.807
Malawi,MWI,1983,44.974
Malawi,MWI,1982,44.84
Malawi,MWI,1981,44.72
Malawi,MWI,1980,44.331
Malawi,MWI,1979,43.703
Malawi,MWI,1978,43.002
Malawi,MWI,1977,41.979
Malawi,MWI,1976,41.022
Malawi,MWI,1975,40.079
Malawi,MWI,1974,39.197
Malawi,MWI,1973,38.355
Malawi,MWI,1972,37.608
Malawi,MWI,1971,37.095
Malawi,MWI,1970,36.638
Malawi,MWI,1969,36.301
Malawi,MWI,1968,36.085
Malawi,MWI,1967,35.941
Malawi,MWI,1966,35.831
Malawi,MWI,1965,35.74
Malawi,MWI,1964,35.681
Malawi,MWI,1963,35.643
Malawi,MWI,1962,35.449
Malawi,MWI,1961,35.23
Malawi,MWI,1960,34.986
