country,country_code,year,value
India,IND,2025,
India,IND,2024,99.9
India,IND,2023,99.5
India,IND,2022,99.2
India,IND,2021,99.6
India,IND,2020,96.5
India,IND,2019,95.9
India,IND,2018,95.7
India,IND,2017,91.8
India,IND,2016,89.6
India,IND,2015,88.0
India,IND,2014,85.1
India,IND,2013,83.1
India,IND,2012,79.9
India,IND,2011,79.5
India,IND,2010,76.3
India,IND,2009,75.0
India,IND,2008,74.1
India,IND,2007,72.3
India,IND,2006,67.9
India,IND,2005,68.8
India,IND,2004,64.4
India,IND,2003,65.4
India,IND,2002,62.3
India,IND,2001,62.0
India,IND,2000,60.3
India,IND,1999,60.1
India,IND,1998,56.1821327209473
India,IND,1997,54.5948638916016
India,IND,1996,53.0035209655762
India,IND,1995,51.4087753295898
India,IND,1994,49.8113098144531
India,IND,1993,50.9
India,IND,1992,
India,IND,1991,
India,IND,1990,
India,IND,1989,
India,IND,1988,
India,IND,1987,
India,IND,1986,
India,IND,1985,
India,IND,1984,
India,IND,1983,
India,IND,1982,
India,IND,1981,
India,IND,1980,
India,IND,1979,
India,IND,1978,
India,IND,1977,
India,IND,1976,
India,IND,1975,
India,IND,1974,
India,IND,1973,
India,IND,1972,
India,IND,1971,
India,IND,1970,
India,IND,1969,
India,IND,1968,
India,IND,1967,
India,IND,1966,
India,IND,1965,
India,IND,1964,
India,IND,1963,
India,IND,1962,
India,IND,1961,
India,IND,1960,
