country,country_code,year,value
Afghanistan,AFG,2025,
Afghanistan,AFG,2024,66.289
Afghanistan,AFG,2023,66.035
Afghanistan,AFG,2022,65.617
Afghanistan,AFG,2021,60.417
Afghanistan,AFG,2020,61.454
Afghanistan,AFG,2019,62.941
Afghanistan,AFG,2018,62.443
Afghanistan,AFG,2017,62.406
Afghanistan,AFG,2016,62.646
Afghanistan,AFG,2015,62.27
Afghanistan,AFG,2014,62.26
Afghanistan,AFG,2013,62.188
Afghanistan,AFG,2012,61.735
Afghanistan,AFG,2011,61.25
Afghanistan,AFG,2010,60.702
Afghanistan,AFG,2009,60.248
Afghanistan,AFG,2008,59.708
Afghanistan,AFG,2007,58.956
Afghanistan,AFG,2006,58.553
Afghanistan,AFG,2005,58.247
Afghanistan,AFG,2004,57.81
Afghanistan,AFG,2003,57.171
Afghanistan,AFG,2002,56.225
Afghanistan,AFG,2001,55.511
Afghanistan,AFG,2000,55.005
Afghanistan,AFG,1999,54.532
Afghanistan,AFG,1998,52.487
Afghanistan,AFG,1997,53.212
Afghanistan,AFG,1996,52.83
Afghanistan,AFG,1995,52.103
Afghanistan,AFG,1994,50.969
Afghanistan,AFG,1993,51.021
Afghanistan,AFG,1992,46.569
Afghanistan,AFG,1991,45.521
Afghanistan,AFG,1990,45.118
Afghanistan,AFG,1989,44.496
Afghanistan,AFG,1988,43.238
Afghanistan,AFG,1987,38.831
Afghanistan,AFG,1986,38.4
Afghanistan,AFG,1985,32.132
Afghanistan,AFG,1984,31.473
Afghanistan,AFG,1983,36.517
Afghanistan,AFG,1982,36.058
Afghanistan,AFG,1981,39.406
Afghanistan,AFG,1980,39.258
Afghanistan,AFG,1979,38.844
Afghanistan,AFG,1978,40.086
Afghanistan,AFG,1977,41.082
Afghanistan,AFG,1976,40.518
Afghanistan,AFG,1975,39.994
Afghanistan,AFG,1974,39.469
Afghanistan,AFG,1973,38.951
Afghanistan,AFG,1972,38.423
Afghanistan,AFG,1971,37.932
Afghanistan,AFG,1970,37.46
Afghanistan,AFG,1969,36.979
Afghanistan,AFG,1968,36.51
Afghanistan,AFG,1967,36.042
Afghanistan,AFG,1966,35.583
Afghanistan,AFG,1965,35.124
Afghanistan,AFG,1964,34.673
Afghanistan,AFG,1963,34.201
Afghanistan,AFG,1962,33.757
Afghanistan,AFG,1961,33.291
Afghanistan,AFG,1960,32.799
