country,country_code,year,value
China,CHN,2025,
China,CHN,2024,
China,CHN,2023,
China,CHN,2022,
China,CHN,2021,
China,CHN,2020,
China,CHN,2019,
China,CHN,2018,
China,CHN,2017,
China,CHN,2016,
China,CHN,2015,
China,CHN,2014,
China,CHN,2013,
China,CHN,2012,92.2603063015232
China,CHN,2011,92.0329425203903
China,CHN,2010,90.7829173331445
China,CHN,2009,88.2874984741211
China,CHN,2008,82.6792526245117
China,CHN,2007,78.1607131958008
China,CHN,2006,74.0575637817383
China,CHN,2005,
China,CHN,2004,
China,CHN,2003,64.0541305541992
China,CHN,2002,62.8378982543945
China,CHN,2001,62.2098388671875
China,CHN,2000,59.4924812316895
China,CHN,1999,58.6365814208984
China,CHN,1998,
China,CHN,1997,54.7360382080078
China,CHN,1996,52.3077697753906
China,CHN,1995,48.9643783569336
China,CHN,1994,47.1572189331055
China,CHN,1993,46.7595100402832
China,CHN,1992,44.4469909667969
China,CHN,1991,41.5681610107422
China,CHN,1990,39.0024795532227
China,CHN,1989,38.1876487731934
China,CHN,1988,37.2133903503418
China,CHN,1987,35.1423110961914
China,CHN,1986,32.6376609802246
China,CHN,1985,31.3245601654053
China,CHN,1984,29.9084606170654
China,CHN,1983,30.1499004364014
China,CHN,1982,32.6269607543945
China,CHN,1981,36.6918296813965
China,CHN,1980,40.256160736084
China,CHN,1979,47.5873718261719
China,CHN,1978,53.2011489868164
China,CHN,1977,57.1651306152344
China,CHN,1976,58.1372909545898
China,CHN,1975,57.590461730957
China,CHN,1974,58.2484588623047
China,CHN,1973,53.8520202636719
China,CHN,1972,43.8977890014648
China,CHN,1971,34.3487205505371
China,CHN,1970,25.6986503601074
China,CHN,1969,
China,CHN,1968,
China,CHN,1967,
China,CHN,1966,
China,CHN,1965,
China,CHN,1964,
China,CHN,1963,
China,CHN,1962,
China,CHN,1961,
China,CHN,1960,
