country,country_code,year,value
Brazil,BRA,2025,
Brazil,BRA,2024,104.144660949707
Brazil,BRA,2023,
Brazil,BRA,2022,105.702369689941
Brazil,BRA,2021,106.298461914062
Brazil,BRA,2020,103.882659912109
Brazil,BRA,2019,103.667556762695
Brazil,BRA,2018,104.818481445312
Brazil,BRA,2017,102.989486694336
Brazil,BRA,2016,102.692901611328
Brazil,BRA,2015,101.086227416992
Brazil,BRA,2014,102.780311584473
Brazil,BRA,2013,104.086219787598
Brazil,BRA,2012,94.5829467773438
Brazil,BRA,2011,
Brazil,BRA,2010,
Brazil,BRA,2009,
Brazil,BRA,2008,
Brazil,BRA,2007,
Brazil,BRA,2006,
Brazil,BRA,2005,
Brazil,BRA,2004,
Brazil,BRA,2003,
Brazil,BRA,2002,
Brazil,BRA,2001,
Brazil,BRA,2000,
Brazil,BRA,1999,
Brazil,BRA,1998,
Brazil,BRA,1997,
Brazil,BRA,1996,
Brazil,BRA,1995,
Brazil,BRA,1994,
Brazil,BRA,1993,
Brazil,BRA,1992,
Brazil,BRA,1991,
Brazil,BRA,1990,
Brazil,BRA,1989,
Brazil,BRA,1988,
Brazil,BRA,1987,
Brazil,BRA,1986,
Brazil,BRA,1985,
Brazil,BRA,1984,
Brazil,BRA,1983,
Brazil,BRA,1982,
Brazil,BRA,1981,
Brazil,BRA,1980,
Brazil,BRA,1979,
Brazil,BRA,1978,
Brazil,BRA,1977,
Brazil,BRA,1976,
Brazil,BRA,1975,
Brazil,BRA,1974,
Brazil,BRA,1973,
Brazil,BRA,1972,
Brazil,BRA,1971,
Brazil,BRA,1970,
Brazil,BRA,1969,
Brazil,BRA,1968,
Brazil,BRA,1967,
Brazil,BRA,1966,
Brazil,BRA,1965,
Brazil,BRA,1964,
Brazil,BRA,1963,
Brazil,BRA,1962,
Brazil,BRA,1961,
Brazil,BRA,1960,
