country,country_code,year,value
Australia,AUS,2025,
Australia,AUS,2024,100.0
Australia,AUS,2023,100.0
Australia,AUS,2022,100.0
Australia,AUS,2021,100.0
Australia,AUS,2020,100.0
Australia,AUS,2019,100.0
Australia,AUS,2018,100.0
Australia,AUS,2017,100.0
Australia,AUS,2016,100.0
Australia,AUS,2015,100.0
Australia,AUS,2014,100.0
Australia,AUS,2013,100.0
Australia,AUS,2012,100.0
Australia,AUS,2011,100.0
Australia,AUS,2010,100.0
Australia,AUS,2009,100.0
Australia,AUS,2008,100.0
Australia,AUS,2007,100.0
Australia,AUS,2006,100.0
Australia,AUS,2005,100.0
Australia,AUS,2004,100.0
Australia,AUS,2003,100.0
Australia,AUS,2002,100.0
Australia,AUS,2001,100.0
Australia,AUS,2000,100.0
Australia,AUS,1999,100.0
Australia,AUS,1998,100.0
Australia,AUS,1997,100.0
Australia,AUS,1996,100.0
Australia,AUS,1995,100.0
Australia,AUS,1994,100.0
Australia,AUS,1993,100.0
Australia,AUS,1992,100.0
Australia,AUS,1991,100.0
Australia,AUS,1990,100.0
Australia,AUS,1989,
Australia,AUS,1988,
Australia,AUS,1987,
Australia,AUS,1986,
Australia,AUS,1985,
Australia,AUS,1984,
Australia,AUS,1983,
Australia,AUS,1982,
Australia,AUS,1981,
Australia,AUS,1980,
Australia,AUS,1979,
Australia,AUS,1978,
Australia,AUS,1977,
Australia,AUS,1976,
Australia,AUS,1975,
Australia,AUS,1974,
Australia,AUS,1973,
Australia,AUS,1972,
Australia,AUS,1971,
Australia,AUS,1970,
Australia,AUS,1969,
Australia,AUS,1968,
Australia,AUS,1967,
Australia,AUS,1966,
Australia,AUS,1965,
Australia,AUS,1964,
Australia,AUS,1963,
Australia,AUS,1962,
Australia,AUS,1961,
Australia,AUS,1960,
