country,country_code,year,value
Nigeria,NGA,2025,
Nigeria,NGA,2024,
Nigeria,NGA,2023,46.8931503295898
Nigeria,NGA,2022,
Nigeria,NGA,2021,45.444938659668
Nigeria,NGA,2020,44.1220893859863
Nigeria,NGA,2019,
Nigeria,NGA,2018,40.4885292053223
Nigeria,NGA,2017,
Nigeria,NGA,2016,39.3068084716797
Nigeria,NGA,2015,43.8246917724609
Nigeria,NGA,2014,42.7821502685547
Nigeria,NGA,2013,52.7967300415039
Nigeria,NGA,2012,44.4557914733887
Nigeria,NGA,2011,43.0239906311035
Nigeria,NGA,2010,41.7837982177734
Nigeria,NGA,2009,37.1381416320801
Nigeria,NGA,2008,33.6112785339355
Nigeria,NGA,2007,30.4232006072998
Nigeria,NGA,2006,33.1262817382812
Nigeria,NGA,2005,33.7729187011719
Nigeria,NGA,2004,33.9481201171875
Nigeria,NGA,2003,
Nigeria,NGA,2002,28.8738098144531
Nigeria,NGA,2001,26.3999805450439
Nigeria,NGA,2000,23.9613494873047
Nigeria,NGA,1999,22.8324108123779
Nigeria,NGA,1998,
Nigeria,NGA,1997,
Nigeria,NGA,1996,
Nigeria,NGA,1995,
Nigeria,NGA,1994,
Nigeria,NGA,1993,
Nigeria,NGA,1992,
Nigeria,NGA,1991,
Nigeria,NGA,1990,23.9810009002686
Nigeria,NGA,1989,23.6370792388916
Nigeria,NGA,1988,
Nigeria,NGA,1987,26.8306694030762
Nigeria,NGA,1986,26.9905109405518
Nigeria,NGA,1985,29.1342906951904
Nigeria,NGA,1984,28.75705909729
Nigeria,NGA,1983,25.0670204162598
Nigeria,NGA,1982,21.0725994110107
Nigeria,NGA,1981,17.2738208770752
Nigeria,NGA,1980,13.870659828186
Nigeria,NGA,1979,11.1410799026489
Nigeria,NGA,1978,9.1794900894165
Nigeria,NGA,1977,7.78704977035522
Nigeria,NGA,1976,
Nigeria,NGA,1975,
Nigeria,NGA,1974,
Nigeria,NGA,1973,6.01967000961304
Nigeria,NGA,1972,5.39129018783569
Nigeria,NGA,1971,4.84703016281128
Nigeria,NGA,1970,4.47895002365112
Nigeria,NGA,1969,
Nigeria,NGA,1968,
Nigeria,NGA,1967,
Nigeria,NGA,1966,
Nigeria,NGA,1965,
Nigeria,NGA,1964,
Nigeria,NGA,1963,
Nigeria,NGA,1962,
Nigeria,NGA,1961,
Nigeria,NGA,1960,
