country,country_code,year,value
Nigeria,NGA,2025,
Nigeria,NGA,2024,62.5
Nigeria,NGA,2023,61.2
Nigeria,NGA,2022,60.5
Nigeria,NGA,2021,59.5
Nigeria,NGA,2020,55.4
Nigeria,NGA,2019,55.4
Nigeria,NGA,2018,56.5
Nigeria,NGA,2017,54.4
Nigeria,NGA,2016,59.3
Nigeria,NGA,2015,52.5
Nigeria,NGA,2014,54.2
Nigeria,NGA,2013,55.6
Nigeria,NGA,2012,53.0
Nigeria,NGA,2011,55.9
Nigeria,NGA,2010,48.0
Nigeria,NGA,2009,50.0
Nigeria,NGA,2008,50.3
Nigeria,NGA,2007,50.1
Nigeria,NGA,2006,47.6
Nigeria,NGA,2005,46.8
Nigeria,NGA,2004,46.1
Nigeria,NGA,2003,52.2
Nigeria,NGA,2002,44.6
Nigeria,NGA,2001,43.9
Nigeria,NGA,2000,43.2
Nigeria,NGA,1999,44.9
Nigeria,NGA,1998,41.2505683898926
Nigeria,NGA,1997,40.3999824523926
Nigeria,NGA,1996,39.5453186035156
Nigeria,NGA,1995,38.6872520446777
Nigeria,NGA,1994,37.8264694213867
Nigeria,NGA,1993,36.9636459350586
Nigeria,NGA,1992,36.0994606018066
Nigeria,NGA,1991,35.2346000671387
Nigeria,NGA,1990,27.3
Nigeria,NGA,1989,
Nigeria,NGA,1988,
Nigeria,NGA,1987,
Nigeria,NGA,1986,
Nigeria,NGA,1985,
Nigeria,NGA,1984,
Nigeria,NGA,1983,
Nigeria,NGA,1982,
Nigeria,NGA,1981,
Nigeria,NGA,1980,
Nigeria,NGA,1979,
Nigeria,NGA,1978,
Nigeria,NGA,1977,
Nigeria,NGA,1976,
Nigeria,NGA,1975,
Nigeria,NGA,1974,
Nigeria,NGA,1973,
Nigeria,NGA,1972,
Nigeria,NGA,1971,
Nigeria,NGA,1970,
Nigeria,NGA,1969,
Nigeria,NGA,1968,
Nigeria,NGA,1967,
Nigeria,NGA,1966,
Nigeria,NGA,1965,
Nigeria,NGA,1964,
Nigeria,NGA,1963,
Nigeria,NGA,1962,
Nigeria,NGA,1961,
Nigeria,NGA,1960,
