country,country_code,year,value
Pakistan,PAK,2025,255219554
Pakistan,PAK,2024,251269164
Pakistan,PAK,2023,247504495
Pakistan,PAK,2022,243700667
Pakistan,PAK,2021,239477801
Pakistan,PAK,2020,235001746
Pakistan,PAK,2019,230800899
Pakistan,PAK,2018,226928892
Pakistan,PAK,2017,223273967
Pakistan,PAK,2016,220138869
Pakistan,PAK,2015,217290883
Pakistan,PAK,2014,214264647
Pakistan,PAK,2013,211073978
Pakistan,PAK,2012,207667125
Pakistan,PAK,2011,203746065
Pakistan,PAK,2010,199239047
Pakistan,PAK,2009,194376534
Pakistan,PAK,2008,189499113
Pakistan,PAK,2007,184493231
Pakistan,PAK,2006,179682690
Pakistan,PAK,2005,175453212
Pakistan,PAK,2004,171286000
Pakistan,PAK,2003,167110248
Pakistan,PAK,2002,163222549
Pakistan,PAK,2001,159270907
Pakistan,PAK,2000,154879127
Pakistan,PAK,1999,150565377
Pakistan,PAK,1998,146522356
Pakistan,PAK,1997,142531804
Pakistan,PAK,1996,138557092
Pakistan,PAK,1995,134582253
Pakistan,PAK,1994,130748083
Pakistan,PAK,1993,127020117
Pakistan,PAK,1992,123546848
Pakistan,PAK,1991,120060406
Pakistan,PAK,1990,116155576
Pakistan,PAK,1989,112336629
Pakistan,PAK,1988,108724739
Pakistan,PAK,1987,105130717
Pakistan,PAK,1986,101606764
Pakistan,PAK,1985,98229285
Pakistan,PAK,1984,95164936
Pakistan,PAK,1983,92227711
Pakistan,PAK,1982,89089246
Pakistan,PAK,1981,85802049
Pakistan,PAK,1980,82291010
Pakistan,PAK,1979,78997039
Pakistan,PAK,1978,76307379
Pakistan,PAK,1977,73901827
Pakistan,PAK,1976,71620254
Pakistan,PAK,1975,69461175
Pakistan,PAK,1974,67415487
Pakistan,PAK,1973,65461912
Pakistan,PAK,1972,63583194
Pakistan,PAK,1971,61847899
Pakistan,PAK,1970,60166719
Pakistan,PAK,1969,58460939
Pakistan,PAK,1968,56810507
Pakistan,PAK,1967,55214768
Pakistan,PAK,1966,53678667
Pakistan,PAK,1965,52209010
Pakistan,PAK,1964,50799999
Pakistan,PAK,1963,49447776
Pakistan,PAK,1962,48156128
Pakistan,PAK,1961,46921277
Pakistan,PAK,1960,45709310
