country,country_code,year,value
Japan,JPN,2025,2.451
Japan,JPN,2024,2.5
Japan,JPN,2023,2.6
Japan,JPN,2022,2.614
Japan,JPN,2021,2.808
Japan,JPN,2020,2.809
Japan,JPN,2019,2.351
Japan,JPN,2018,2.467
Japan,JPN,2017,2.822
Japan,JPN,2016,3.132
Japan,JPN,2015,3.385
Japan,JPN,2014,3.589
Japan,JPN,2013,4.038
Japan,JPN,2012,4.358
Japan,JPN,2011,4.55
Japan,JPN,2010,5.102
Japan,JPN,2009,5.068
Japan,JPN,2008,4.002
Japan,JPN,2007,3.888
Japan,JPN,2006,4.192
Japan,JPN,2005,4.446
Japan,JPN,2004,4.734
Japan,JPN,2003,5.251
Japan,JPN,2002,5.386
Japan,JPN,2001,5.02
Japan,JPN,2000,4.748
Japan,JPN,1999,4.677
Japan,JPN,1998,4.078
Japan,JPN,1997,3.374
Japan,JPN,1996,3.383
Japan,JPN,1995,3.15
Japan,JPN,1994,2.89
Japan,JPN,1993,2.539
Japan,JPN,1992,2.158
Japan,JPN,1991,2.059
Japan,JPN,1990,
Japan,JPN,1989,
Japan,JPN,1988,
Japan,JPN,1987,
Japan,JPN,1986,
Japan,JPN,1985,
Japan,JPN,1984,
Japan,JPN,1983,
Japan,JPN,1982,
Japan,JPN,1981,
Japan,JPN,1980,
Japan,JPN,1979,
Japan,JPN,1978,
Japan,JPN,1977,
Japan,JPN,1976,
Japan,JPN,1975,
Japan,JPN,1974,
Japan,JPN,1973,
Japan,JPN,1972,
Japan,JPN,1971,
Japan,JPN,1970,
Japan,JPN,1969,
Japan,JPN,1968,
Japan,JPN,1967,
Japan,JPN,1966,
Japan,JPN,1965,
Japan,JPN,1964,
Japan,JPN,1963,
Japan,JPN,1962,
Japan,JPN,1961,
Japan,JPN,1960,
