country,country_code,year,value
Australia,AUS,2025,65129.7227990563
Australia,AUS,2024,64609.9865116088
Australia,AUS,2023,65058.3773146674
Australia,AUS,2022,65169.5191118657
Australia,AUS,2021,60758.9044397144
Australia,AUS,2020,51983.4523666382
Australia,AUS,2019,55194.7585097428
Australia,AUS,2018,57410.1737346009
Australia,AUS,2017,54117.547718609
Australia,AUS,2016,50084.4440606385
Australia,AUS,2015,56970.3613028094
Australia,AUS,2014,62817.2061751737
Australia,AUS,2013,68476.6788496118
Australia,AUS,2012,68301.4402512587
Australia,AUS,2011,62799.3895017032
Australia,AUS,2010,52313.8939041213
Australia,AUS,2009,42954.8494884573
Australia,AUS,2008,49811.2067218988
Australia,AUS,2007,41128.2476618402
Australia,AUS,2006,36658.8243476122
Australia,AUS,2005,34535.20727091
Australia,AUS,2004,30886.0500949401
Australia,AUS,2003,23757.5898471684
Australia,AUS,2002,20335.0960191023
Australia,AUS,2001,19733.6510102645
Australia,AUS,2000,21908.9968019784
Australia,AUS,1999,20749.6443779096
Australia,AUS,1998,21516.0403147759
Australia,AUS,1997,23683.4948964934
Australia,AUS,1996,22055.838490507
Australia,AUS,1995,20479.1748274233
Australia,AUS,1994,18155.6282000179
Australia,AUS,1993,17724.5399501656
Australia,AUS,1992,18650.3675476612
Australia,AUS,1991,18885.4274465057
Australia,AUS,1990,18273.561526468
Australia,AUS,1989,17857.5520554588
Australia,AUS,1988,14303.093047615
Australia,AUS,1987,11665.5298271811
Australia,AUS,1986,11406.1093011037
Australia,AUS,1985,11455.379711213
Australia,AUS,1984,12436.2969052038
Australia,AUS,1983,11532.4028055582
Australia,AUS,1982,12797.6758959809
Australia,AUS,1981,11870.8633077339
Australia,AUS,1980,10223.2886675105
Australia,AUS,1979,9307.82127950011
Australia,AUS,1978,8264.43890373653
Australia,AUS,1977,7786.4080406928
Australia,AUS,1976,7497.28175413577
Australia,AUS,1975,7013.67159761514
Australia,AUS,1974,6491.74521621099
Australia,AUS,1973,4777.513168995
Australia,AUS,1972,3955.22430403017
Australia,AUS,1971,3500.33603195606
Australia,AUS,1970,3309.76306254362
Australia,AUS,1969,2995.86119857452
Australia,AUS,1968,2728.23426114901
Australia,AUS,1967,2583.9075241973
Australia,AUS,1966,2347.37656646515
Australia,AUS,1965,2284.35582738664
Australia,AUS,1964,2134.48946124608
Australia,AUS,1963,1970.17748417817
Australia,AUS,1962,1857.56127281956
Australia,AUS,1961,1880.48489498232
Australia,AUS,1960,1813.43109917039
